"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред","Број одељења - пети разред","Број комбинованих одељења - пети разред","Број специјалних одељења - пети разред","Број ученика - пети разред","Број девојчица - пети разред","Број ИОП-а 1 - пети разред","Број ИОП-а 2 - пети разред","Број ИОП-а 3 - пети разред","Број одељења - шести разред","Број комбинованих одељења - шести разред","Број специјалних одељења - шести разред","Број ученика - шести разред","Број девојчица - шести разред","Број ИОП-а 1 - шести разред","Број ИОП-а 2 - шести разред","Број ИОП-а 3 - шести разред","Број одељења - седми разред","Број комбинованих одељења - седми разред","Број специјалних одељења - седми разред","Број ученика - седми разред","Број девојчица - седми разред","Број ИОП-а 1 - седми разред","Број ИОП-а 2 - седми разред","Број ИОП-а 3 - седми разред","Број одељења - осми разред","Број комбинованих одељења - осми разред","Број специјалних одељења - осми разред","Број ученика - осми разред","Број девојчица - осми разред","Број ИОП-а 1 - осми разред","Број ИОП-а 2 - осми разред","Број ИОП-а 3 - осми разред"
"1117.","973","Државно","Расински управни округ","Крушевац - град","Свети Сава","Основно редовно образовање","Основно образовање","8","Српски језик","4","1","0","48","21","0","0","0","5","3","0","49","21","0","0","0","5","2","0","58","24","0","0","0","5","3","0","54","25","0","2","0","3","0","0","69","36","0","0","0","3","0","0","51","24","2","1","0","3","0","0","61","28","1","3","0","3","0","0","58","29","2","3","0"
"1118.","974","Државно","Расински управни округ","Крушевац - град","Страхиња Поповић","Основно редовно образовање","Основно образовање","8","Српски језик","3","2","0","18","11","0","0","0","4","2","0","20","12","0","1","0","4","3","0","26","11","0","0","0","3","2","0","16","9","0","1","0","1","0","0","17","7","0","0","0","1","0","0","9","2","1","0","0","1","0","0","16","7","0","2","0","2","0","0","27","11","4","2","0"
"1119.","975","Државно","Расински управни округ","Крушевац - град","Жабаре","Основно редовно образовање","Основно образовање","8","Српски језик","5","3","0","29","13","0","0","0","4","2","0","21","13","0","0","0","5","3","0","34","19","0","0","0","5","3","0","33","14","0","1","0","2","0","0","29","18","0","1","0","2","0","0","40","20","0","0","0","2","0","0","27","9","0","2","0","2","0","0","27","14","0","2","0"
"1120.","976","Државно","Расински управни округ","Трстеник","Живадин Апостоловић","Основно редовно образовање","Основно образовање","8","Српски језик","4","2","1","59","30","0","2","0","4","1","0","68","32","0","0","0","5","2","1","61","30","4","2","0","5","2","1","69","32","0","1","0","3","0","0","61","36","0","0","0","3","0","0","72","41","0","0","0","4","1","1","80","37","0","2","0","4","1","1","71","35","0","1","0"
"1121.","977","Државно","Расински управни округ","Трстеник","Јован Јовановић Змај","Основно редовно образовање","Основно образовање","8","Српски језик","7","7","0","20","6","0","0","0","6","6","0","25","12","0","0","0","9","9","0","33","17","0","0","0","7","7","0","31","16","0","0","0","2","0","0","34","13","0","0","0","2","0","0","37","16","0","0","0","1","0","0","24","20","0","0","0","2","0","0","41","21","0","0","0"
"1122.","978","Државно","Расински управни округ","Трстеник","Миодраг Чајетинац Чајка","Основно редовно образовање","Основно образовање","8","Српски језик","7","4","0","73","25","0","0","0","8","3","0","88","38","1","0","0","7","4","0","70","32","2","0","0","7","4","0","68","27","1","0","0","3","0","0","71","39","1","0","0","3","0","0","67","26","5","0","0","4","0","0","89","42","4","0","0","3","0","0","71","29","1","1","0"
"1123.","979","Државно","Расински управни округ","Трстеник","Добрица Ћосић","Основно редовно образовање","Основно образовање","8","Српски језик","3","2","0","28","13","0","0","0","3","2","0","36","16","1","0","0","3","2","0","28","9","0","1","0","3","2","0","30","16","0","0","0","2","0","0","42","21","1","0","0","2","0","0","32","18","9","0","0","2","0","0","32","17","1","0","0","2","0","0","37","21","1","0","0"
"1124.","980","Државно","Расински управни округ","Трстеник","Раде Додић","Основно редовно образовање","Основно образовање","8","Српски језик","6","5","0","23","10","0","0","0","6","6","0","28","16","0","0","0","6","5","0","27","8","0","0","0","6","4","0","37","18","0","0","0","2","0","0","35","19","1","0","0","2","0","0","30","17","1","0","0","2","0","0","39","18","1","0","0","2","0","0","31","13","0","0","0"
"1125.","981","Државно","Расински управни округ","Трстеник","Свети Сава","Основно редовно образовање","Основно образовање","8","Српски језик","5","4","0","31","15","0","0","0","6","5","0","41","19","0","0","0","5","4","0","28","15","0","2","0","4","3","0","36","15","0","0","0","2","0","0","35","18","0","0","0","2","0","0","24","7","1","0","0","3","0","0","44","24","1","1","0","3","0","0","47","21","2","0","0"
"1126.","981","Државно","Расински управни округ","Трстеник","Свети Сава","Основно редовно образовање","Основно образовање за обдарене за математику","2","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1127.","982","Државно","Расински управни округ","Трстеник","Кнегиња Милица","Основно редовно образовање","Основно образовање","8","Српски језик","5","4","0","18","10","0","0","0","6","5","0","29","14","0","0","0","6","5","0","25","15","0","1","0","6","5","0","27","17","0","1","0","2","0","0","33","17","0","1","0","2","0","0","34","23","0","0","0","2","0","0","34","14","0","0","0","2","0","0","34","13","0","0","0"
"1128.","983","Државно","Расински управни округ","Трстеник","Љубивоје Бајић","Основно редовно образовање","Основно образовање","8","Српски језик","3","2","0","18","9","0","0","0","3","2","0","16","8","0","0","0","3","2","0","17","9","0","0","0","3","2","0","19","8","1","0","0","1","0","0","22","14","0","0","0","1","0","0","22","8","0","1","0","2","0","0","29","12","2","0","0","1","0","0","24","13","0","0","0"
"1129.","984","Државно","Расински управни округ","Ћићевац","Доситеј Обрадовић","Основно редовно образовање","Основно образовање","8","Српски језик","5","3","0","50","22","0","0","0","5","3","0","57","27","0","0","0","5","3","0","56","27","0","0","0","5","3","0","48","24","4","0","0","3","0","0","53","27","2","5","0","3","0","0","69","34","1","3","0","3","0","0","56","25","3","2","0","2","0","0","44","22","2","2","0"
"1130.","985","Државно","Расински управни округ","Ћићевац","Војвода Пријезда","Основно редовно образовање","Основно образовање","8","Српски језик","2","1","0","12","4","0","0","0","3","2","0","19","9","0","0","0","3","2","0","22","18","1","0","0","3","2","0","14","8","0","0","0","1","0","0","23","10","2","0","0","1","0","0","17","5","0","1","0","1","0","0","18","7","1","1","0","1","0","0","23","9","0","0","0"
"1131.","986","Државно","Рашки управни округ","Врњачка Бања","Бранко Радичевић","Основно редовно образовање","Основно образовање","8","Српски језик","5","3","0","27","15","0","0","0","5","3","0","38","16","2","0","0","5","3","0","47","18","0","0","0","5","3","0","40","25","0","0","0","3","0","0","44","25","1","0","0","3","0","0","52","21","1","1","0","3","0","0","54","30","0","1","0","3","0","0","63","28","1","0","0"
"1132.","987","Државно","Рашки управни округ","Врњачка Бања","Бане Миленковић","Основно редовно образовање","Основно образовање","8","Српски језик","1","0","0","28","12","0","0","0","3","1","0","39","17","0","1","0","2","0","0","33","21","0","0","0","3","1","0","49","24","0","0","0","2","0","0","38","18","0","1","0","2","0","0","36","18","0","0","0","2","0","0","44","20","0","0","0","2","0","0","38","22","0","0","0"
"1133.","988","Државно","Рашки управни округ","Врњачка Бања","Попински борци","Функционално образовање одраслих","Функционално образовање одраслих","6","Српски језик","3","0","0","43","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1134.","988","Државно","Рашки управни округ","Врњачка Бања","Попински борци","Основно редовно образовање","Основно образовање","8","Српски језик","6","1","0","122","54","0","0","0","6","1","0","111","58","0","1","0","7","2","0","130","59","0","1","0","7","2","0","126","67","1","0","0","5","0","0","93","54","0","1","0","5","0","0","121","52","0","1","0","5","0","0","129","60","1","0","0","6","0","0","122","63","0","1","0"
"1135.","988","Државно","Рашки управни округ","Врњачка Бања","Попински борци","Основно редовно образовање","Основно образовање у школи за образовање ученика са сметњама у развоју","8","Српски језик","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1136.","989","Државно","Рашки управни округ","Врњачка Бања","Младост","Основно редовно образовање","Основно образовање","8","Српски језик","2","1","0","17","8","0","0","0","2","1","0","20","13","0","0","0","2","1","0","21","9","0","0","0","2","1","0","23","8","0","0","0","2","0","0","33","12","0","0","0","1","0","0","17","7","0","0","0","2","0","0","31","11","0","0","0","1","0","0","22","11","0","0","0"
"1137.","990","Државно","Рашки управни округ","Краљево - град","Браћа Вилотијевић","Основно редовно образовање","Основно образовање","8","Српски језик","5","1","0","71","32","0","1","0","5","1","0","70","37","0","0","0","5","1","0","77","39","1","0","0","5","1","0","69","37","0","0","0","3","0","0","84","39","1","0","0","3","0","0","70","29","1","6","0","4","0","0","93","39","2","4","0","4","0","0","80","37","0","5","0"
